Date,"Pressure, mbar","Temperature, *C","RH, %","Dew Point, *C","Wind Direction, *","Wind Speed, m/s","Gust Speed, m/s","Rain, mm","Battery, V","PAR, uE","PAR, uE","PAR, uE"
10-12-17 05:55:00 PM,,,88.8,,,0,,0,,,,
10-12-17 06:00:00 PM,991.8,22.47,89,20.59,348,0,1,0,4.353,-888.88,,
10-12-17 06:05:00 PM,991.8,22.39,89,20.52,348,0,0.5,0,4.35,-888.88,,
10-12-17 06:10:00 PM,991.8,22.35,89.2,20.51,348,0,1,0,4.347,-888.88,,
10-12-17 06:15:00 PM,992,22.32,89.5,20.54,350,0,0.5,0,4.341,-888.88,,
10-12-17 06:20:00 PM,992.1,22.32,89.6,20.56,350,0,0.5,0,4.32,-888.88,,
10-12-17 06:25:00 PM,992.2,22.32,89.7,20.57,350,0,1,0,4.307,-888.88,,
10-12-17 06:30:00 PM,992.2,22.32,89.9,20.61,354,0,1.5,0,4.31,-888.88,,
10-12-17 06:35:00 PM,992.3,22.27,90,20.58,358,0,1,0,4.31,-888.88,,
10-12-17 06:40:00 PM,992.3,22.23,90,20.53,358,0,1,0,4.31,-888.88,,
10-12-17 06:45:00 PM,992.4,22.23,90.2,20.57,358,0,1,0,4.311,-888.88,,
10-12-17 06:50:00 PM,992.5,22.2,90.3,20.56,358,0,0.5,0,4.311,-888.88,,
10-12-17 06:55:00 PM,992.6,22.2,90.4,20.58,358,0,0.5,0,4.311,-888.88,,
10-12-17 07:00:00 PM,992.6,22.15,90.6,20.57,358,0,1,0,4.31,-888.88,,
10-12-17 07:05:00 PM,992.6,22.11,90.7,20.54,358,0,0.5,0,4.31,-888.88,,
10-12-17 07:10:00 PM,992.6,21.99,90.9,20.46,358,0,1,0,4.31,-888.88,,
10-12-17 07:15:00 PM,992.8,21.91,91.2,20.44,357,0,1.5,0,4.308,-888.88,,
10-12-17 07:20:00 PM,992.8,21.84,91.4,20.41,6,0,1.5,0,4.308,-888.88,,
10-12-17 07:25:00 PM,992.8,21.75,91.6,20.35,4,0,1.5,0,4.308,-888.88,,
10-12-17 07:30:00 PM,992.8,21.65,92,20.32,0,0.5,1.5,0,4.308,-888.88,,
10-12-17 07:35:00 PM,992.8,21.6,92.3,20.33,357,0,1,0,4.307,-888.88,,
10-12-17 07:40:00 PM,992.8,21.56,92.5,20.32,355,0.5,1.5,0,4.307,-888.88,,
10-12-17 07:45:00 PM,992.8,21.58,92.7,20.37,352,0,1.5,0,4.305,-888.88,,
10-12-17 07:50:00 PM,992.8,21.51,92.8,20.32,354,0.5,2,0,4.305,-888.88,,
10-12-17 07:55:00 PM,992.9,21.46,93,20.31,355,0.5,2,0,4.305,-888.88,,
10-12-17 08:00:00 PM,992.9,21.44,93.1,20.3,358,0.5,2,0,4.304,-888.88,,
10-12-17 08:05:00 PM,993,21.39,93.3,20.29,352,1,3,0,4.304,-888.88,,
